route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,final_departure_time,final_stop_id,shape_dist_traveled,first_arrival_time,duration,route_short_name,next_arrival_time,time_waiting,is_port_authority_stop,is_incomplete_100th,is_incomplete_99th,is_incomplete_95th,is_incomplete_90th
63,5,12867,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY043,1100,0 days 15:24:00,43274,21.3824,0 days 13:51:00,0 days 01:33:00,190,0 days 15:35:00,0 days 00:11:00,1,1.0,1.0,1.0,0.0
63,5,12811,190 NEW YORK VIA SECAUCUS,0,190WY043,1090,0 days 20:28:00,43274,19.2093,0 days 19:15:00,0 days 01:13:00,190,0 days 21:00:00,0 days 00:32:00,1,1.0,1.0,1.0,0.0
46,4,8240,161 NEW YORK VIA UNION CITY,0,190WY044,609,0 days 15:12:00,43274,21.0008,0 days 13:55:00,0 days 01:17:00,161,0 days 15:35:00,0 days 00:23:00,1,0.0,0.0,0.0,0.0
46,5,8385,161 NEW YORK VIA UNION CITY,0,190WY044,622,0 days 15:12:00,43274,21.0008,0 days 13:55:00,0 days 01:17:00,161,0 days 15:35:00,0 days 00:23:00,1,0.0,0.0,0.0,0.0
69,3,13441,194 NEW YORK,0,190WY045,1173,0 days 15:40:00,43274,41.6786,0 days 14:16:00,0 days 01:24:00,194,,,1,0.0,0.0,0.0,0.0
63,4,12559,190 NEW YORK VIA SECAUCUS,0,190WY046,1050,0 days 15:27:00,43274,19.2093,0 days 14:06:00,0 days 01:21:00,190,,,1,0.0,0.0,0.0,0.0
63,5,12804,190 NEW YORK VIA SECAUCUS,0,190WY046,1090,0 days 15:27:00,43274,19.2093,0 days 14:06:00,0 days 01:21:00,190,,,1,0.0,0.0,0.0,0.0
63,4,12521,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY048,1048,0 days 15:50:00,43274,19.1958,0 days 14:21:00,0 days 01:29:00,190,0 days 16:12:00,0 days 00:22:00,1,1.0,1.0,0.0,0.0
63,4,12529,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY048,1048,0 days 19:26:00,43274,19.1958,0 days 18:00:00,0 days 01:26:00,190,0 days 19:50:00,0 days 00:24:00,1,1.0,1.0,0.0,0.0
63,5,12763,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY048,1088,0 days 15:50:00,43274,19.1958,0 days 14:21:00,0 days 01:29:00,190,0 days 16:12:00,0 days 00:22:00,1,1.0,1.0,0.0,0.0
63,5,12772,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY048,1088,0 days 19:26:00,43274,19.1958,0 days 18:00:00,0 days 01:26:00,190,0 days 19:50:00,0 days 00:24:00,1,1.0,1.0,0.0,0.0
70,3,13515,195 NEW YORK,0,190WY049,1193,0 days 15:28:00,43274,24.1727,0 days 14:23:00,0 days 01:05:00,195,0 days 18:30:00,0 days 03:02:00,1,0.0,0.0,0.0,0.0
63,4,12560,190 NEW YORK VIA SECAUCUS,0,190WY050,1050,0 days 15:59:00,43274,19.2093,0 days 14:36:00,0 days 01:23:00,190,0 days 16:24:00,0 days 00:25:00,1,1.0,1.0,0.0,0.0
63,4,12563,190 NEW YORK VIA SECAUCUS,0,190WY050,1050,0 days 19:11:00,43274,19.2093,0 days 17:46:00,0 days 01:25:00,190,0 days 19:30:00,0 days 00:19:00,1,1.0,1.0,0.0,0.0
63,5,12805,190 NEW YORK VIA SECAUCUS,0,190WY050,1090,0 days 15:59:00,43274,19.2093,0 days 14:36:00,0 days 01:23:00,190,0 days 16:24:00,0 days 00:25:00,1,1.0,1.0,0.0,0.0
63,5,12808,190 NEW YORK VIA SECAUCUS,0,190WY050,1090,0 days 19:11:00,43274,19.2093,0 days 17:46:00,0 days 01:25:00,190,0 days 19:30:00,0 days 00:19:00,1,1.0,1.0,0.0,0.0
63,4,12568,190 NEW YORK VIA SECAUCUS,0,190WY051,1050,0 days 21:27:00,43274,19.2093,0 days 20:20:00,0 days 01:07:00,190,0 days 21:48:00,0 days 00:21:00,1,1.0,1.0,1.0,0.0
63,5,12813,190 NEW YORK VIA SECAUCUS,0,190WY051,1090,0 days 21:27:00,43274,19.2093,0 days 20:20:00,0 days 01:07:00,190,0 days 21:48:00,0 days 00:21:00,1,1.0,1.0,1.0,0.0
63,4,12522,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY052,1048,0 days 16:23:00,43274,19.1958,0 days 14:51:00,0 days 01:32:00,190,0 days 16:36:00,0 days 00:13:00,1,1.0,1.0,1.0,0.0
63,4,12534,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY052,1048,0 days 21:49:00,43274,19.1958,0 days 20:40:00,0 days 01:09:00,190,0 days 22:15:00,0 days 00:26:00,1,1.0,1.0,1.0,0.0
63,5,12764,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY052,1088,0 days 16:23:00,43274,19.1958,0 days 14:51:00,0 days 01:32:00,190,0 days 16:36:00,0 days 00:13:00,1,1.0,1.0,1.0,0.0
63,5,12777,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY052,1088,0 days 21:49:00,43274,19.1958,0 days 20:40:00,0 days 01:09:00,190,0 days 22:15:00,0 days 00:26:00,1,1.0,1.0,1.0,0.0
46,4,8245,161 NEW YORK VIA UNION CITY,0,190WY053,609,0 days 16:37:00,43274,21.0008,0 days 15:10:00,0 days 01:27:00,161,0 days 17:02:00,0 days 00:25:00,1,1.0,1.0,0.0,0.0
63,4,12565,190 NEW YORK VIA SECAUCUS,0,190WY053,1050,0 days 20:01:00,43274,19.2093,0 days 18:45:00,0 days 01:16:00,190,0 days 20:24:00,0 days 00:23:00,1,1.0,1.0,0.0,0.0
46,5,8390,161 NEW YORK VIA UNION CITY,0,190WY053,622,0 days 16:37:00,43274,21.0008,0 days 15:10:00,0 days 01:27:00,161,0 days 17:02:00,0 days 00:25:00,1,1.0,1.0,0.0,0.0
