Date,Bus,ID,Duration,Start Time,End Time,Air Compressor Energy [kWh],Rear HVAC Energy [kWh],LV Access. Energy [kWh],Electric Heater Energy [kWh],Traction Energy [kWh],Energy Used [kWh],Mileage [miles],Average Speed [mph],SOC Start [%],SOC End [%],Regen Energy [kWh],Net Energy Consumption [kWh/mile],Average Power Consumption [kW],Average Temperature [°F]
2023-01-22,22901,1,00:55:18,02:58 PM,03:53 PM,1,0,1.6,3.9,19.6,25.1,13.59249062,14.74772943,93.6,89.2,16.7,1.846607858,27.23327306,40.78464315
2023-01-22,22901,2,00:52:16,04:03 PM,04:55 PM,1,0,2,11,16.9,29.7,11.4953635,13.1962081,89.2,84,13.9,2.583650356,34.09438776,39.52026402
2023-01-22,22901,3,00:52:16,05:18 PM,06:10 PM,0.8,0,2.2,10.05,14,26.8,10.95166387,12.57206312,84,79.2,12.3,2.44711674,30.76530612,38.51056601
2023-01-22,22901,4,01:00:18,06:17 PM,07:17 PM,1,0,2.45,12.9,18.6,34.7,11.88372037,11.82459739,79.2,72.8,14.7,2.919960997,34.52736318,38.03029506
2023-01-22,22901,5,00:52:16,07:33 PM,08:25 PM,0.8,0,2.25,11.7,13.5,28.5,10.563307,12.12624528,72.8,67.6,11.9,2.698018717,32.71683673,37.64928284
2023-01-22,22901,6,00:52:16,08:32 PM,09:24 PM,0.75,0,2.1,10.2,18.1,30.9,12.03906313,13.82035308,67.6,61.6,14.8,2.566644902,35.47193878,37.2950567
2023-01-22,22901,7,00:44:14,09:49 PM,10:33 PM,0.65,0,2.05,10.65,12.9,26.8,10.33029287,14.01245454,61.2,56.4,11.3,2.594311732,36.35267521,37.41799998
2023-01-22,22901,8,00:58:18,10:46 PM,11:44 PM,0.8,0,2.55,12.9,17.3,34,12.66043413,13.0296063,56,49.6,15.2,2.685531923,34.99142367,37.63400021
2023-01-23,22901,1,02:21:44,06:04 AM,08:26 AM,2.15,0,5.35,28.1,35.4,68.6,23.53442663,9.962833472,93.6,81.6,33.4,2.914878747,29.04045155,38.23890136
2023-01-23,22901,2,01:03:19,08:34 AM,09:37 AM,1.1,0,2.6,12.2,16.4,32.1,10.563307,10.00997768,81.6,76,14.8,3.038821081,30.41853119,38.58406262
2023-01-23,22901,3,01:21:25,09:44 AM,11:05 AM,1.1,0,3.4,16.35,18.3,39.2,11.4953635,8.471506366,75.2,68,16.6,3.410070504,28.88843398,38.11297552
2023-01-23,22901,4,03:30:05,11:13 AM,02:43 PM,2.9,0,8.7,39,55.7,106.4,37.04924588,10.58129989,68,47.6,49.6,2.871853326,30.38794129,38.15462863
2023-01-25,22901,1,08:00:30,11:46 AM,07:46 PM,6.6,0,18,87.4,71.9,184.3,58.02051713,7.245017747,92.8,60,55.3,3.176462554,23.01352758,42.77775374
2023-01-26,22901,1,03:20:02,06:07 AM,09:27 AM,3.15,0,7.4,30.55,47.9,86,34.64143325,10.39069819,93.2,78,46.1,2.482576266,25.79570072,43.68496991
2023-01-26,22901,2,01:16:24,09:34 AM,10:51 AM,1.05,0,2.95,11.7,16.4,31.7,11.88372037,9.332764692,78,72,16.3,2.667514802,24.89528796,44.86789585
2023-01-26,22901,3,03:27:05,11:17 AM,02:44 PM,2.7,0,7.9,26.4,50.2,86.2,36.58321762,10.59956406,72,55.6,46,2.356271689,24.97545272,45.71417388
2023-01-26,22903,1,00:31:10,11:23 AM,11:54 AM,0.3,0,1.1,0,4.3,7,2.873840875,5.532527888,40.8,39.2,2.7,2.435764645,13.47593583,45.13887489
2023-01-26,22903,2,00:26:08,12:51 PM,01:18 PM,0.15,0,0.85,0,2.2,3.3,1.475756125,3.388215593,38.8,38,1.3,2.236141829,7.576530612,45.98599997
2023-01-27,22901,1,04:42:26,06:07 AM,10:49 AM,4.2,0,10.95,47.9,69.7,130.1,46.2921395,9.834279606,93.2,70.4,66.4,2.810412338,27.63838074,35.10474465
2023-01-27,22901,2,03:36:06,11:13 AM,02:49 PM,3.3,0,8.55,30.6,56.3,97.9,37.35993138,10.37295642,70,51.2,52.7,2.620454492,27.18186025,41.27749979
2023-01-27,22903,1,00:37:28,10:24 AM,11:02 AM,0.45,0,1.9,8.7,16.4,30.7,10.2526215,16.41878888,34,28,4.1,2.994356126,49.16370107,40.38216231
2023-01-28,22901,1,00:58:46,06:04 AM,07:02 AM,0.85,0,2.3,12.65,19.9,34.4,13.51481925,13.79845414,92.8,86.8,16.7,2.545354056,35.12195122,35.61705267
2023-01-28,22901,2,00:45:14,07:13 AM,07:58 AM,0.75,0,2,11.35,14.3,27.8,10.01960737,13.29056247,86.8,81.6,12.4,2.774559817,36.87546057,36.14626096
2023-01-28,22901,3,00:45:13,08:26 AM,09:12 AM,0.8,0,2.05,9.1,14.9,26.7,9.941936,13.19239572,81.2,76.8,13.6,2.685593631,35.42941393,39.38743449
2023-01-28,22901,4,00:47:15,09:24 AM,10:12 AM,0.8,0,1.95,8.2,17.2,27.6,10.2526215,13.0192019,76.4,71.6,14.7,2.691994433,35.04761905,43.45700002
2023-01-28,22901,5,01:30:28,10:52 AM,12:23 PM,1.45,0,3.6,15.25,28,46.5,19.18482963,12.72391058,70.4,61.6,25.8,2.423790094,30.84008843,48.29019772
2023-01-28,22901,6,01:47:33,01:00 PM,02:48 PM,1.85,0,4.25,12.6,33.9,51.3,23.3014125,12.99939331,60.8,50.8,30,2.201583273,28.61924686,51.34533294
2023-01-29,22901,1,00:08:03,02:31 PM,02:39 PM,0.1,0,0.3,2.2,3.1,5.5,2.1747985,16.20967826,93.2,92,2.7,2.528969925,40.99378882,51.54799938
2023-01-29,22901,2,00:07:26,02:43 PM,02:50 PM,0,0,0.2,0.9,0.4,1.7,0.621371,5.015550673,92,91.6,0.7,2.735885646,13.72197309,50.8691424
2023-01-29,22901,3,00:26:08,02:57 PM,03:23 PM,0.45,0,1.05,3.45,6.3,10.9,4.970968,11.41293673,91.6,89.6,6,2.192731878,25.0255102,50.35999966
2023-01-29,22901,4,00:24:46,03:27 PM,03:52 PM,0.35,0,0.9,3.05,7.2,11.2,5.514667625,13.35989465,89.6,87.6,7.4,2.030947423,27.13324361,49.72639957
2023-01-29,22901,5,00:35:11,03:57 PM,04:32 PM,0.5,0,1.35,5.9,9.2,16.3,6.446724125,10.99393977,87.6,84.8,8.5,2.528415934,27.79725249,48.77599945
2023-01-29,22901,6,00:27:08,04:43 PM,05:10 PM,0.45,0,1.1,4.8,7.7,13.6,5.592339,12.3663516,84.8,82.4,6.9,2.431898352,30.07371007,47.84000034
2023-01-29,22901,7,01:50:34,05:16 PM,07:06 PM,1.6,0,4.05,17.3,24.2,45.5,20.73825713,11.25380248,82.4,74.4,23.4,2.194012724,24.69098583,46.80962163
2023-01-29,22901,8,00:50:15,07:34 PM,08:25 PM,0.8,0,1.95,9.55,13.6,24.8,10.64097837,12.70564582,73.6,68.8,13.8,2.330612762,29.6119403,45.30305862
2023-01-29,22901,9,00:49:15,08:37 PM,09:26 PM,0.65,0,1.95,8.9,13.4,24.7,10.95166388,13.34212858,68.8,64.4,11.9,2.255365055,30.09137056,44.69072034
2023-01-29,22901,10,00:36:11,09:30 PM,10:07 PM,0.25,0,1.45,6.6,5.7,14,4.893296625,8.114172202,64.4,61.6,5.8,2.861056885,23.21510825,43.93205415
2023-01-29,22901,11,01:25:26,10:16 PM,11:41 PM,1.3,0,3.55,16.7,21.2,42.7,17.398388,12.21892251,61.6,53.2,19.7,2.454250359,29.98829497,43.05116279
