Energy Consumption,Power Consumption,Temperature,Speed,Bus
1.49,14.65,74.55,9.84,22901
1.53,16.06,75.70,10.52,22901
1.70,15.75,75.94,9.27,22901
1.27,12.60,75.74,9.96,22901
1.43,14.55,73.49,10.14,22901
1.35,15.18,71.93,11.21,22901
1.23,13.79,71.23,11.19,22901
1.25,11.48,70.03,9.22,22901
1.80,24.04,64.01,13.33,22902
1.26,20.48,66.69,16.31,22902
1.69,20.19,69.83,11.96,22902
1.93,25.69,74.49,13.29,22902
1.80,13.26,67.68,7.38,22903
1.69,26.85,70.42,15.93,22903
1.39,12.71,62.74,9.17,22901
1.97,49.57,57.49,25.15,22903
1.59,11.09,54.73,6.95,22901
1.72,24.49,52.09,14.23,22901
1.84,24.17,51.49,13.16,22901
1.80,22.06,55.07,12.24,22901
1.44,21.77,58.86,15.09,22901
1.37,19.88,61.97,14.54,22901
1.27,18.37,60.85,14.47,22901
1.25,21.26,57.59,16.96,22901
1.70,25.03,52.29,14.70,22901
1.82,74.07,60.17,40.71,22903
1.42,24.41,62.03,17.21,22903
1.45,17.97,61.50,12.36,22903
1.45,20.15,59.45,13.86,22903
1.72,31.68,54.57,18.40,22903
2.21,25.22,48.97,11.41,22903
2.14,37.34,60.62,17.41,22901
1.84,20.65,62.94,11.21,22901
1.29,13.79,63.50,10.71,22901
1.33,13.27,64.33,9.96,22901
1.36,12.28,65.52,9.01,22901
1.43,14.23,66.31,9.99,22901
1.36,14.13,66.48,10.35,22901
1.16,13.47,65.93,11.66,22901
1.95,37.76,39.37,19.36,22903
1.43,24.41,39.20,17.06,22903
2.47,32.18,39.50,13.05,22903
1.97,24.94,49.89,12.65,22903
1.36,25.29,62.23,18.64,22903
1.44,19.36,64.94,13.48,22903
1.44,20.09,66.41,13.91,22903
1.53,30.15,63.37,19.74,22903
1.89,33.15,56.12,17.54,22903
2.05,20.71,48.65,10.08,22901
1.90,23.77,55.95,12.53,22901
1.45,20.61,60.01,14.24,22901
1.65,16.94,66.72,10.28,22901
1.68,21.65,71.96,12.91,22901
2.04,29.92,47.75,14.67,22903
1.91,27.02,47.32,14.12,22903
1.85,22.45,54.04,12.14,22903
2.48,33.02,59.36,13.32,22903
2.07,20.61,74.63,9.95,22903
1.75,21.24,74.34,12.13,22903
1.68,19.04,70.55,11.33,22903
2.19,26.98,63.82,12.33,22903
1.94,23.16,59.76,11.96,22903
2.57,31.37,55.16,12.18,22903
2.55,30.59,53.17,11.98,22903
1.46,23.76,78.70,16.27,22901
1.54,20.15,80.84,13.12,22901
1.36,22.87,69.91,16.78,22901
1.68,27.08,62.70,16.11,22901
1.59,19.38,57.81,12.16,22903
1.61,26.22,68.03,16.29,22901
1.56,24.68,75.21,15.79,22901
1.57,28.57,77.55,18.15,22901
1.38,17.60,54.69,12.78,22902
1.40,20.97,65.15,14.98,22902
1.98,23.07,70.33,11.63,22902
1.59,22.17,74.52,13.91,22902
1.86,23.86,76.08,12.82,22902
1.70,22.55,77.43,13.29,22902
1.84,25.03,77.58,13.61,22902
2.72,42.14,54.65,15.47,22903
4.29,9.42,56.73,2.20,22903
1.43,21.92,64.56,15.35,22903
1.67,22.43,71.45,13.44,22903
1.62,23.41,75.77,14.42,22903
1.64,29.06,77.22,17.73,22903
2.43,23.70,74.39,9.76,22903
1.82,18.80,60.20,10.31,22903
2.54,31.30,58.87,12.33,22903
1.40,19.42,55.79,13.84,22901
1.35,17.66,60.32,13.06,22901
1.54,11.93,62.65,7.74,22901
1.45,18.89,64.12,13.02,22901
1.45,18.95,66.68,13.06,22901
1.66,19.72,66.96,11.91,22901
1.50,26.68,66.10,17.79,22901
1.46,39.82,66.51,27.32,22902
1.44,24.29,67.14,16.83,22902
1.60,27.36,66.28,17.13,22902
1.61,26.90,64.01,16.69,22902
1.37,24.23,61.77,17.71,22902
1.37,22.59,57.12,16.55,22902
2.39,25.86,58.87,10.81,22903
1.53,22.07,61.41,14.41,22901
1.37,19.58,62.13,14.28,22901
1.75,20.36,62.20,11.65,22901
1.48,19.65,62.46,13.23,22901
1.50,21.49,63.11,14.28,22901
1.46,19.01,62.76,13.06,22901
1.33,17.31,65.31,13.05,22901
2.03,31.74,62.20,15.60,22902
1.84,21.11,62.25,11.48,22902
1.78,25.90,62.33,14.55,22902
1.75,26.77,63.16,15.30,22902
1.76,29.45,64.12,16.75,22902
2.28,26.72,62.47,11.72,22903
2.18,23.67,62.66,10.87,22903
2.15,25.18,63.23,11.69,22903
2.30,27.20,62.76,11.85,22903
2.18,22.19,64.30,10.20,22903
2.08,23.03,65.05,11.10,22903
1.97,23.60,67.95,12.01,22903
2.23,24.53,69.85,10.99,22903
2.17,27.28,70.20,12.58,22903
2.18,20.52,70.36,9.42,22903
2.06,23.38,70.06,11.33,22903
1.96,14.56,48.39,7.45,22901
1.44,18.22,58.94,12.69,22901
1.53,14.15,58.32,9.25,22901
1.45,22.50,62.46,15.51,22902
1.35,20.78,62.59,15.38,22902
1.59,26.52,60.38,16.69,22902
